TABLE_NAME,COLUMN_NAME,DATA_TYPE
salesforce_case,Id,string
salesforce_case,IsDeleted,string
salesforce_case,MasterRecordId,string
salesforce_case,CaseNumber,string
salesforce_case,ContactId,string
salesforce_case,AccountId,string
salesforce_case,AssetId,string
salesforce_case,ProductId,string
salesforce_case,EntitlementId,string
salesforce_case,SourceId,string
salesforce_case,BusinessHoursId,string
salesforce_case,ParentId,string
salesforce_case,SuppliedName,string
salesforce_case,SuppliedEmail,string
salesforce_case,SuppliedPhone,string
salesforce_case,SuppliedCompany,string
salesforce_case,Type,string
salesforce_case,RecordTypeId,string
salesforce_case,Status,string
salesforce_case,Reason,string
salesforce_case,Origin,string
salesforce_case,Language,string
salesforce_case,Subject,string
salesforce_case,Priority,string
salesforce_case,Description,string
salesforce_case,IsClosed,string
salesforce_case,ClosedDate,datetime64[s]
salesforce_case,IsEscalated,string
salesforce_case,CurrencyIsoCode,string
salesforce_case,OwnerId,string
salesforce_case,IsClosedOnCreate,string
salesforce_case,SlaStartDate,string
salesforce_case,SlaExitDate,string
salesforce_case,IsStopped,string
salesforce_case,StopStartDate,string
salesforce_case,CreatedDate,datetime64[s]
salesforce_case,CreatedById,string
salesforce_case,LastModifiedDate,datetime64[s]
salesforce_case,LastModifiedById,string
salesforce_case,SystemModstamp,datetime64[s]
salesforce_case,ContactPhone,string
salesforce_case,ContactMobile,string
salesforce_case,ContactEmail,string
salesforce_case,ContactFax,string
salesforce_case,Comments,string
salesforce_case,LastViewedDate,string
salesforce_case,LastReferencedDate,string
salesforce_case,ServiceContractId,string
salesforce_case,MilestoneStatus,string
salesforce_case,Account_Suspension__c,string
salesforce_case,Account_to_be_moved_from__c,string
salesforce_case,Account_to_be_moved_to__c,string
salesforce_case,MNP_Error_Reason__c,string
salesforce_case,Amount__c,string
salesforce_case,Amount_to_Apply_as_payment__c,string
salesforce_case,Amount_to_Move__c,string
salesforce_case,Apartment__c,string
salesforce_case,ApplicationsWebsite__c,string
salesforce_case,Atoll__c,string
salesforce_case,Attempted_AppsURLs__c,string
salesforce_case,Region__c,string
salesforce_case,B_Number__c,string
salesforce_case,Balance_After__c,string
salesforce_case,Balance_Before__c,string
salesforce_case,Bank_Account_Name__c,string
salesforce_case,Bank_Account_Number__c,string
salesforce_case,Bank_Name__c,string
salesforce_case,Building_Name__c,string
salesforce_case,Calling_Method__c,string
salesforce_case,Case_Owner__c,string
salesforce_case,Category__c,string
salesforce_case,Catering_Site__c,string
salesforce_case,Channel__c,string
salesforce_case,Country__c,string
salesforce_case,CoverageLevelIndoor__c,string
salesforce_case,CoverageLevelOutdoor__c,string
salesforce_case,Coverage_Level_Indoor__c,string
salesforce_case,Coverage_Level_Outdoor__c,string
salesforce_case,Current_Queue_Name__c,string
salesforce_case,Current_Queue_Name_f__c,string
salesforce_case,Current_Team_Name__c,string
salesforce_case,Customer_Location_Building__c,string
salesforce_case,Customer_Location_District__c,string
salesforce_case,Customer_Location_Island__c,string
salesforce_case,Customer_Location_Number__c,string
salesforce_case,Customer_Location_Phone_Model_No__c,string
salesforce_case,Customer_Location_Road__c,string
salesforce_case,Customer_Location__c,string
salesforce_case,Customer_Record_Type__c,string
salesforce_case,Customer_Reference__c,string
salesforce_case,Dateddmmyyyy__c,string
salesforce_case,Gateway_Type__c,string
salesforce_case,Destination_IP__c,string
salesforce_case,mFaisa_Reference__c,string
salesforce_case,Dispute_Amount__c,string
salesforce_case,Distributor_Number__c,string
salesforce_case,District__c,string
salesforce_case,Download_Speed__c,string
salesforce_case,Email_Address__c,string
salesforce_case,Error_Message__c,string
salesforce_case,Error_Message_received__c,string
salesforce_case,Floor__c,string
salesforce_case,Game_Name__c,string
salesforce_case,Thread_Id__c,string
salesforce_case,IsEscalated__c,string
salesforce_case,Island__c,string
salesforce_case,Issue_Area__c,string
salesforce_case,Issue_Duration__c,string
salesforce_case,Issue_Time__c,datetime64[s]
salesforce_case,Issue__c,string
salesforce_case,Last_successful_SMS_attempt__c,string
salesforce_case,Latency__c,string
salesforce_case,Location__c,string
salesforce_case,MAC__c,string
salesforce_case,MSISDN__c,string
salesforce_case,Milestone1__c,string
salesforce_case,Milestone2__c,string
salesforce_case,Milestone3__c,string
salesforce_case,Milestone4__c,string
salesforce_case,Modem_Status_CNP__c,string
salesforce_case,Modem_Status_INCA__c,string
salesforce_case,Mobile_Model__c,string
salesforce_case,New_Address__c,string
salesforce_case,Number_Trying_to_send_Credit__c,string
salesforce_case,Order_ID__c,string
salesforce_case,Operator__c,string
salesforce_case,Others__c,string
salesforce_case,PIN__c,string
salesforce_case,Pack_Add_On__c,string
salesforce_case,Refund_DA_With_Offer_Type__c,string
salesforce_case,Payment_Amount__c,string
salesforce_case,Payment_Channel__c,string
salesforce_case,Payment_Date_Time__c,string
salesforce_case,Package_Type__c,string
salesforce_case,Loyalty_Points__c,string
salesforce_case,Post_bill_delivery_Address__c,string
salesforce_case,Post_bill_delivery_Island__c,string
salesforce_case,Preferred_time_to_Visit__c,string
salesforce_case,Case_Age__c,string
salesforce_case,Query_Amount__c,string
salesforce_case,Queue_Assigned_TIme__c,string
salesforce_case,Queue_Id__c,string
salesforce_case,Reason_for_Movement__c,string
salesforce_case,Receiver_Location_Building__c,string
salesforce_case,Receiver_Location_District__c,string
salesforce_case,Receiver_Location_Island__c,string
salesforce_case,Receiver_Location_Number__c,string
salesforce_case,Receiver_Location_Phone_Model_No__c,string
salesforce_case,Receiver_Location_Road__c,string
salesforce_case,Receivers_Location__c,string
salesforce_case,Receiving_Number__c,string
salesforce_case,Recharge_Amount__c,string
salesforce_case,Recharge_Channel__c,string
salesforce_case,Remarks__c,string
salesforce_case,Reply_SMS_Received__c,string
salesforce_case,SIP_Phone_Brand__c,string
salesforce_case,SIP_Phone_Model__c,string
salesforce_case,SMS_Short_code__c,string
salesforce_case,Send_and_Receive_Money_del__c,string
salesforce_case,Sending_Number__c,string
salesforce_case,Serial_Number__c,string
salesforce_case,Server__c,string
salesforce_case,Service_Info__c,string
salesforce_case,Service__c,string
salesforce_case,Service_type__c,string
salesforce_case,Short_Code__c,string
salesforce_case,Street__c,string
salesforce_case,Sub_Category__c,string
salesforce_case,Sub_Sub_Category__c,string
salesforce_case,Suggestion_Feedback__c,string
salesforce_case,Transaction_Amount__c,string
salesforce_case,Transaction_ID__c,string
salesforce_case,Transaction_Type__c,string
salesforce_case,Type__c,string
salesforce_case,USSD_Code__c,string
salesforce_case,USSNR__c,string
salesforce_case,Upload_Speed__c,string
salesforce_case,User_ID__c,string
salesforce_case,Ward__c,string
salesforce_case,Loyalty_Item__c,string
salesforce_case,isAssigned__c,string
salesforce_case,isChecked__c,string
salesforce_case,isReopen__c,string
salesforce_case,Program_Name__c,string
salesforce_case,Case_closed_in_24_hours__c,string
salesforce_case,Case_closed_in_48_hours__c,string
salesforce_case,Approval_Status__c,string
salesforce_case,Previous_Queue_Name__c,string
salesforce_case,Refund_API_Status__c,string
salesforce_case,Refund_Adjustment__c,string
salesforce_case,Refund_Amount__c,string
salesforce_case,Refund_DA_Id__c,string
salesforce_case,Refund_Product_Id__c,string
salesforce_case,Refund_Request__c,string
salesforce_case,Refund_Response__c,string
salesforce_case,Refund_Status__c,string
salesforce_case,Refund_Submitted_User__c,string
salesforce_case,Refund_Type__c,string
salesforce_case,Refund_Unit_Type__c,string
salesforce_case,Data__c,string
salesforce_case,Location_Process__c,string
salesforce_case,Package_activated__c,string
salesforce_case,SMS__c,string
salesforce_case,Service_Credit__c,string
salesforce_case,Voice__c,string
salesforce_case,IDD19__c,string
salesforce_case,Invoice_Month__c,string
